#NSGA2
popsize 100
maxGen 100
numVar 10
numObj 2
numCons 10
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 100
currentGen	1
evaluateCount	100
totalTime	0.38938
firstFrontCount	11
frontCount	14
avgEvalTime	0.00270498
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Obj1	Obj2	Cons1	Cons2	Cons3	Cons4	Cons5	Cons6	Cons7	Cons8	Cons9	Cons10	
0.531391	0.423568	0.801906	-0.00574189	0.460157	0.0633519	-0.189423	0.674406	0.55511	0.267818	9.2607	1.0956	0	0	0	0	0	0	0	0	0	0	
0.364938	0.390775	0.690629	0.426887	0.884908	0.511921	0.365308	0.829053	0.767864	0.0796035	9.98874	1.70347	0	0	0	0	0	0	0	0	0	0	
-0.123338	0.661293	0.610153	0.406792	0.679593	0.646298	0.226513	0.428911	0.746944	0.41503	11.9732	1.41764	0	0	0	0	0	0	0	0	0	0	
0.691175	0.30298	0.512801	0.421157	0.807282	-0.16614	0.965842	0.00917347	0.840875	0.458779	8.96613	1.76982	0	0	0	0	0	0	0	0	0	0	
0.90183	0.00337616	0.886075	0.55486	-0.000529087	0.022728	0.131699	0.638168	0.684051	0.478437	9.03342	1.51413	0	0	0	0	0	0	0	0	0	0	
0.817113	0.630249	-0.23383	0.410495	-0.193449	-0.117152	0.0883798	0.969784	0.515394	-0.205732	12.6844	1.29773	0	0	0	0	0	0	0	0	0	0	
0.651464	0.527114	0.510397	0.226419	0.390034	0.0888109	0.0216005	-0.049445	-0.230806	0.863892	8.1856	0.988265	0	0	0	0	0	0	0	0	0	0	
-0.168122	0.623522	0.879001	0.168074	0.901332	0.77782	-0.0249046	0.0673129	0.0653478	-0.00342107	9.15392	1.32239	0	0	0	0	0	0	0	0	0	0	
0.0166697	0.699429	0.365898	0.758626	-0.043066	0.0478977	0.538662	0.74072	0.276005	0.418371	12.0703	1.14653	0	0	0	0	0	0	0	0	0	0	
-0.2735	0.316707	0.509406	0.228742	0.945719	0.968365	0.102763	0.183304	0.513288	0.557043	15.5407	1.46848	0	0	0	0	0	0	0	0	0	0	
0.528731	0.829943	0.0895686	-0.00747507	0.805944	-0.285429	0.830224	0.227072	0.452603	0.18642	10.3574	1.34395	0	0	0	0	0	0	0	0	0	0	
0.144504	0.990225	0.675326	0.426928	0.550304	0.77778	-0.155272	0.968544	-0.0882022	0.311362	4.4593	1.80722	0	0	0	0	0	0	0	0	0	0	
0.379988	0.503437	0.503254	0.268991	0.333865	0.575185	0.646337	0.746642	0.338822	0.556276	12.1032	1.28262	0	0	0	0	0	0	0	0	0	0	
0.807568	0.849036	0.938801	-0.207568	0.324189	0.337432	-0.205852	0.374997	-0.058413	-0.103645	8.59643	1.35678	0	0	0	0	0	0	0	0	0	0	
0.96554	0.647924	0.00167806	0.837196	0.581037	0.842373	0.970069	0.600981	0.284845	-0.192318	5.76589	2.26025	0	0	0	0	0	0	0	0	0	0	
0.57467	0.773144	0.405502	0.830816	0.0545265	0.168802	-0.0557557	0.871188	-0.221663	-0.271281	6.48417	1.34948	0	0	0	0	0	0	0	0	0	0	
0.300624	0.727866	0.674194	0.641296	0.811143	0.796651	-0.146015	0.435824	0.232609	0.611698	3.49522	1.70906	0	0	0	0	0	0	0	0	0	0	
0.0516055	0.334332	0.328946	0.900951	0.659915	0.337888	0.961979	0.592114	0.179405	-0.227146	13.8059	1.4719	0	0	0	0	0	0	0	0	0	0	
0.607993	0.62617	-0.241168	-0.0931715	0.213247	0.790131	0.907488	0.990183	-0.21896	-0.27326	15.5159	1.71249	0	0	0	0	0	0	0	0	0	0	
0.65524	-0.0458189	-0.132664	0.136387	0.314583	0.946239	0.754351	0.505324	0.905753	0.657071	18.7876	1.76925	0	0	0	0	0	0	0	0	0	0	
-0.110943	-0.182177	0.289582	0.159632	0.418202	-0.137873	0.0295766	-0.269426	-0.208629	0.844078	14.6232	0.589099	0	0	0	0	0	0	0	0	0	0	
0.132575	-0.0630955	0.327881	-0.0399796	0.205292	0.0508864	0.94592	0.460173	-0.112675	0.493309	17.354	0.768984	0	0	0	0	0	0	0	0	0	0	
0.852095	-0.159166	0.826012	0.509147	0.601156	0.556985	0.965293	-0.0356685	0.339331	0.243601	8.41418	1.73605	0	0	0	0	0	0	0	0	0	0	
0.726022	-0.00775017	0.855929	0.932026	0.520839	0.758624	0.00544026	0.0403845	0.190176	0.394338	4.0768	1.58428	0	0	0	0	0	0	0	0	0	0	
